Problem,CRMprod_it,CRMprod_elapsed,CRMprodApprox_it,CRMprodApprox_elapsed,MAPprod_it,MAPprod_elapsed,MAPprodApprox_it,MAPprodApprox_elapsed
Prob=8_Rest=1_n=200_nsets=10,5,66.92842322300001,6,0.0012798177899590165,119,264.54578259600004,126,0.00845803921319797
Prob=9_Rest=1_n=200_nsets=10,4,63.005826926000005,6,0.001300442846914866,131,268.295436101,130,0.008665527289428076
Prob=10_Rest=1_n=200_nsets=10,4,63.872896082000004,6,0.001281504878655721,129,268.428710689,128,0.008731680178010471
Prob=1_Rest=1_n=200_nsets=20,4,135.409230666,7,0.0030225047465214762,260,610.616752709,259,0.033537880873333335
Prob=2_Rest=1_n=200_nsets=20,5,139.06869316200002,7,0.003015103987326494,241,605.940721918,244,0.032501965285714286
Prob=3_Rest=1_n=200_nsets=20,5,138.22609631,7,0.0030272096943602185,258,615.113539022,255,0.03175923586708861
Prob=4_Rest=1_n=200_nsets=20,5,141.33552684900002,7,0.003062921613120785,243,617.336835384,244,0.03292618415686275
Prob=5_Rest=1_n=200_nsets=20,5,135.658939908,7,0.0031311066097867,248,590.638140472,225,0.029468851672514625
Prob=6_Rest=1_n=200_nsets=20,5,127.48369520300001,7,0.002990149600359497,246,581.458637316,252,0.0323997964
Prob=7_Rest=1_n=200_nsets=20,5,129.86817203,7,0.002993922221355729,223,597.720994309,248,0.031213770304347827
Prob=8_Rest=1_n=200_nsets=20,5,133.860930818,6,0.0026716819989299092,252,583.805560523,257,0.03205301953846154
Prob=9_Rest=1_n=200_nsets=20,4,132.685773667,7,0.0030159962709716357,262,579.504452852,265,0.032902224467105265
Prob=10_Rest=1_n=200_nsets=20,5,127.14273786300001,7,0.0030262334609327682,239,591.726597296,253,0.031861344439490444
Prob=1_Rest=1_n=200_nsets=50,5,327.898721567,7,0.0073116939122807026,624,1579.7671767640002,621,0.19116333514814815
Prob=2_Rest=1_n=200_nsets=50,5,332.467565958,7,0.0073071557784256565,604,1616.239864786,648,0.1973633818846154
Prob=3_Rest=1_n=200_nsets=50,5,329.46100186200005,7,0.007430792964338782,597,1603.0480019180002,612,0.18354790042857144
Prob=4_Rest=1_n=200_nsets=50,6,327.66523333000004,7,0.007389993190828403,589,1584.918444456,602,0.18035279942857144
Prob=5_Rest=1_n=200_nsets=50,6,335.10915367300004,7,0.007318499030746706,569,1569.957793154,537,0.1638282725483871
Prob=6_Rest=1_n=200_nsets=50,6,329.73402776700004,7,0.0072157172554112555,606,1593.6072726310001,626,0.1920470074814815
Prob=7_Rest=1_n=200_nsets=50,6,322.38235925600003,7,0.007545555358006043,607,1540.5511575530002,608,0.18782826851851853
Prob=8_Rest=1_n=200_nsets=50,6,358.84593859200004,8,0.00848668944991511,548,1594.6162713980002,488,0.15268670242424245
Prob=9_Rest=1_n=200_nsets=50,6,328.65619845500004,7,0.0073076211871345035,594,1558.1967363190001,610,0.18600713533333335
Prob=10_Rest=1_n=200_nsets=50,6,319.760423451,7,0.00739480185840708,594,1547.068479172,628,0.1909380752962963
